(1170122.0, 1169923.36749, 27.46516168, 1170122.0, 1168403.0)
(1169347.0, 1169452.51504, 13.28030895, 1169347.0, 1169027.0)
(1169666.0, 1169245.75874, 30.41886676, 1170000.0, 1169666.0)
(1167946.0, 1167949.45904, 16.92362826, 1168075.0, 1167946.0)
(1167546.0, 1167423.67352, 18.88060053, 1167546.0, 1167520.0)
(1166098.0, 1166076.41142, 54.68359477, 1166202.0, 1165130.0)
(1165062.0, 1165343.84145, 34.07222961, 1165062.0, 1164561.0)
(1165000.0, 1165010.94781, 39.62425957, 1165000.0, 1164420.0)
(1164683.0, 1164590.72895, 27.64338757, 1164976.0, 1164683.0)
(1159800.0, 1159223.67653, 39.13126981, 1160000.0, 1159800.0)
(1160759.0, 1160537.67169, 21.49158901, 1160759.0, 1160006.0)
(1161000.0, 1160756.74453, 29.31520696, 1161110.0, 1161000.0)
(1162735.0, 1161303.49514, 32.30747517, 1163253.0, 1162735.0)
(1163499.0, 1163414.54285, 17.65583175, 1163500.0, 1162957.0)
(1163555.0, 1163062.30506, 25.12276173, 1163945.0, 1163555.0)
(1166845.0, 1167075.00865, 79.78512422, 1166700.0, 1166691.0)
(1170206.0, 1170678.12634, 59.75215289, 1170206.0, 1170155.0)
(1169500.0, 1169428.02974, 33.55109066, 1169508.0, 1169500.0)
(1168830.0, 1170388.73493, 62.59774918, 1169000.0, 1168830.0)
(1170292.0, 1171074.04695, 21.74220711, 1171268.0, 1170300.0)
(1169024.0, 1169960.68721, 38.26211322, 1169356.0, 1169024.0)
(1170391.0, 1169620.68979, 29.10863308, 1170391.0, 1170078.0)
(1171400.0, 1170609.45427, 18.53474257, 1171399.0, 1170303.0)
(1175319.0, 1175030.28369, 40.12545905, 1174000.0, 1173730.0)
(1173731.0, 1174441.65548, 54.21146193, 1173849.0, 1173731.0)
(1173700.0, 1174249.46668, 29.71583658, 1173794.0, 1173700.0)
(1173467.0, 1173166.56561, 28.11460921, 1173498.0, 1173467.0)
(1171636.0, 1171766.21357, 31.89231693, 1171636.0, 1170889.0)
(1171770.0, 1170774.88964, 38.37254297, 1171769.0, 1171562.0)
(1171800.0, 1171062.38785, 29.33039721, 1171800.0, 1171600.0)
(1170612.0, 1170628.71589, 13.21867738, 1170612.0, 1170586.0)
(1171840.0, 1171016.32556, 18.17285935, 1171632.0, 1171471.0)
(1169871.0, 1170237.22401, 25.65907321, 1171180.0, 1170720.0)
(1165831.0, 1166510.44578, 58.43254364, 1166620.0, 1165831.0)
(1165750.0, 1165762.39195, 27.39179238, 1165750.0, 1165001.0)
(1162534.0, 1163016.10718, 34.4531717, 1163000.0, 1162534.0)
